Location,Size_sqft,Bedrooms,Bathrooms,Age_years,Garage,Garden,Condition,Neighborhood_Type,Distance_to_City_km,Price
Lahore,1900,4,3,6,Yes,Yes,Good,Commercial,15,6800000
Islamabad,1500,3,2,17,Yes,No,Good,Residential,18,4900000
Karachi,2000,4,4,9,Yes,Yes,Good,Residential,14,7000000
Lahore,1150,,1,32,No,Yes,Poor,Industrial,38,2400000
Islamabad,1750,4,3,10,Yes,No,Good,Residential,11,6000000
Karachi,1400,3,2,15,Yes,Yes,Average,Residential,17,4100000
Lahore,2300,5,4,2,Yes,Yes,Excellent,Residential,6,8900000
Islamabad,1050,2,1,35,No,No,Poor,Industrial,36,2100000
Karachi,1800,4,3,7,Yes,No,Good,Commercial,13,6000000
Lahore,1250,3,1,28,No,Yes,Average,Residential,31,3200000
Islamabad,2500,6,4,3,Yes,Yes,Excellent,Residential,5,10600000
Karachi,1600,3,3,12,Yes,No,Good,Residential,16,4700000
Lahore,1950,4,3,5,Yes,Yes,Good,Residential,9,7200000
Islamabad,1350,3,2,21,Yes,No,Average,Residential,23,4200000
Karachi,2100,5,4,8,Yes,Yes,Good,Commercial,10,7500000
Lahore,1000,2,1,38,No,No,Poor,Industrial,44,1700000
Islamabad,2900,6,5,1,Yes,Yes,Excellent,Residential,2,14500000
Karachi,1700,4,2,11,Yes,Yes,Average,Residential,19,5000000
Lahore,1550,3,2,16,Yes,No,Good,Residential,21,4600000
